"chave_monitoramento","tipo","nome","cnpj","codigo_fip","endereco","cidade_uf_cep","ddd","tel","fax","site","email","data_autorizacao_cadastramento","entcodigo","codativo"
"resseguradora local::30074","Resseguradora Local","ALLIANZ GLOBAL CORPORATE & SPECIALTY RESSEGUROS BRASIL S.A.","15.517.074/0001-77","","","SÃO PAULO - Cep: 05425000","11","3527-0267 -","","www.agcs.allianz.com","allianzressegurosbr@allianz.com.br","","30074","True"
"resseguradora local::31551","Resseguradora Local","SCOR BRASIL RESSEGUROS S.A.","19.851.775/0001-07","","","RIO DE JANEIRO - Cep: 20091007","21","35149401 -","35149440","www.scor.com","fviana@scor.com","","31551","True"
"resseguradora local::31623","Resseguradora Local","IRB BRASIL RESSEGUROS S/A","33.376.989/0001-91","","","RIO DE JANEIRO - Cep: 20031170","21","22720200 -","2272-2800","www.irbbrasilre.com","atendimentosusep@irbre.com","","31623","True"
"resseguradora local::32875","Resseguradora Local","ZURICH RESSEGURADORA BRASIL S/A","14.387.387/0001-95","","","SÃO PAULO - Cep:","11","23138500 -","","","zurich.ofertas@zurich.com","","32875","True"
"resseguradora local::33294","Resseguradora Local","MAPFRE RE DO BRASIL CIA DE RESSEGUROS","01.396.770/0001-68","","","SAO PAULO - Cep: 04551000","11","30401903 -","30401940","www.mapfre.com/mapfrere/es/general","mapfrere.br.suseprelations@mapfre.com","","33294","True"
"resseguradora local::34819","Resseguradora Local","AUSTRAL RESSEGURADORA S/A","11.536.561/0001-26","","","RIO DE JANEIRO - Cep: 22431002","21","31255500 -","31255600","www.australre.com","ofertas@australre.com","","34819","True"
"resseguradora local::36099","Resseguradora Local","AXA XL RESSEGUROS S.A.","19.323.175/0001-68","","","SÃO PAULO - Cep: 04543000","11","35139200 -","35139200","","xlc-relacoes.resseguros@xlcatlin.com","","36099","True"
"resseguradora local::37052","Resseguradora Local","BTG PACTUAL RESSEGURADORA S.A.","15.421.859/0001-41","","","SÃO PAULO - Cep: 04538133","11","33832000 -","33832001","www.btgpactual.com","ol-relacoessusep@btgpactual.com","","37052","True"
"resseguradora local::37729","Resseguradora Local","MUNICH RE DO BRASIL RESSEGURADORA S.A.","01.857.539/0001-24","","","SÃO PAULO - Cep: 04538132","11","51021514 -","51021501","www.munichre.com","mrbrasil_ofertas@munichre.com","","37729","True"
"resseguradora local::37753","Resseguradora Local","SOMPO RESSEGURADORA S.A","57.023.316/0001-16","","","SÃO PAULO - Cep: 04012911","11","3460-9000 -","3460-9000","www.sompo.com.br","ofertasomporesseguradora@sompo.com.br","","37753","True"
"resseguradora local::37893","Resseguradora Local","FM RESSEGURADORA S/A","59.499.882/0001-24","","","SÃO PAULO - Cep: 04543907","11","30773900 -","30773900","www.fm.com/about-us/our-offices/brazil","proposta_resseguro@fm.com","","37893","True"
"resseguradora local::38253","Resseguradora Local","CHUBB RESSEGURADORA BRASIL S.A","10.808.462/0001-93","","","SÃO PAULO - Cep: 04794000","11","4504","4504-4396","https://www.chubb.com/br-pt/","Rodrigo.Costa@Chubb.com","","38253","True"
"resseguradora local::38270","Resseguradora Local","SWISS RE BRASIL RESSEGUROS S/A","15.047.380/0001-97","","","SÃO PAULO - Cep: 01451001","11","3073-8000 -","3073-8001","http://www.swissre.com","juliana_alves@swissre.com","","38270","True"
"resseguradora local::38741","Resseguradora Local","AIG RESSEGUROS BRASIL S.A.","13.525.547/0001-52","","","SÃO PAULO - Cep: 04583110","11","3809-2200 -","3809-2111","www.aig.com.br","Ofertas.AIGRE@AIG.com","","38741","True"
"resseguradora local::38873","Resseguradora Local","JUNTO RESSEGUROS S.A.","09.594.758/0001-70","","","CURITIBA - Cep: 80210010","41","32819190 -","32819190","www.juntoseguros.com","jre@juntoseguros.com","","38873","True"
